month,region,rep_id,rep_name,active,attrition_date,assigned_accounts,rep_attributed_revenue_usd
2025-01,West,W1,Alicia Nguyen,True,2025-08-04,11,5054.31
2025-01,West,W2,Marcus Webb,True,2025-08-04,11,4594.83
2025-01,West,W3,Priya Raman,True,2025-08-04,11,3675.86
2025-01,West,W4,Devon Ortiz,True,2025-08-04,10,2986.64
2025-01,West,W5,Sofia Reyes,True,,13,3675.86
2025-01,West,W6,Tom Baxter,True,,11,2986.64
2025-01,East,E1,Grace Kim,True,,12,7941.72
2025-01,East,E2,Liam Chen,True,,13,6807.19
2025-01,East,E3,Nora Fields,True,,8,7941.72
2025-01,Central,C1,Omar Haddad,True,,11,9391.69
2025-01,Central,C2,Ivy Larsson,True,,8,14087.53
2025-02,West,W1,Alicia Nguyen,True,2025-08-04,11,5520.27
2025-02,West,W2,Marcus Webb,True,2025-08-04,11,5018.43
2025-02,West,W3,Priya Raman,True,2025-08-04,11,4014.74
2025-02,West,W4,Devon Ortiz,True,2025-08-04,10,3261.98
2025-02,West,W5,Sofia Reyes,True,,13,4014.74
2025-02,West,W6,Tom Baxter,True,,11,3261.98
2025-02,East,E1,Grace Kim,True,,12,8719.63
2025-02,East,E2,Liam Chen,True,,13,7473.97
2025-02,East,E3,Nora Fields,True,,8,8719.63
2025-02,Central,C1,Omar Haddad,True,,11,9760.76
2025-02,Central,C2,Ivy Larsson,True,,8,14641.14
2025-03,West,W1,Alicia Nguyen,True,2025-08-04,11,6150.53
2025-03,West,W2,Marcus Webb,True,2025-08-04,11,5591.39
2025-03,West,W3,Priya Raman,True,2025-08-04,11,4473.11
2025-03,West,W4,Devon Ortiz,True,2025-08-04,10,3634.4
2025-03,West,W5,Sofia Reyes,True,,13,4473.11
2025-03,West,W6,Tom Baxter,True,,11,3634.4
2025-03,East,E1,Grace Kim,True,,12,9631.61
2025-03,East,E2,Liam Chen,True,,13,8255.67
2025-03,East,E3,Nora Fields,True,,8,9631.61
2025-03,Central,C1,Omar Haddad,True,,11,10680.23
2025-03,Central,C2,Ivy Larsson,True,,8,16020.34
2025-04,West,W1,Alicia Nguyen,True,2025-08-04,11,5825.29
2025-04,West,W2,Marcus Webb,True,2025-08-04,11,5295.72
2025-04,West,W3,Priya Raman,True,2025-08-04,11,4236.57
2025-04,West,W4,Devon Ortiz,True,2025-08-04,10,3442.22
2025-04,West,W5,Sofia Reyes,True,,13,4236.57
2025-04,West,W6,Tom Baxter,True,,11,3442.22
2025-04,East,E1,Grace Kim,True,,12,9248.06
2025-04,East,E2,Liam Chen,True,,13,7926.91
2025-04,East,E3,Nora Fields,True,,8,9248.06
2025-04,Central,C1,Omar Haddad,True,,11,10570.43
2025-04,Central,C2,Ivy Larsson,True,,8,15855.64
2025-05,West,W1,Alicia Nguyen,True,2025-08-04,11,6079.57
2025-05,West,W2,Marcus Webb,True,2025-08-04,11,5526.88
2025-05,West,W3,Priya Raman,True,2025-08-04,11,4421.51
2025-05,West,W4,Devon Ortiz,True,2025-08-04,10,3592.47
2025-05,West,W5,Sofia Reyes,True,,13,4421.51
2025-05,West,W6,Tom Baxter,True,,11,3592.47
2025-05,East,E1,Grace Kim,True,,12,9431.21
2025-05,East,E2,Liam Chen,True,,13,8083.89
2025-05,East,E3,Nora Fields,True,,8,9431.21
2025-05,Central,C1,Omar Haddad,True,,11,10735.01
2025-05,Central,C2,Ivy Larsson,True,,8,16102.51
2025-06,West,W1,Alicia Nguyen,True,2025-08-04,11,5944.03
2025-06,West,W2,Marcus Webb,True,2025-08-04,11,5403.66
2025-06,West,W3,Priya Raman,True,2025-08-04,11,4322.93
2025-06,West,W4,Devon Ortiz,True,2025-08-04,10,3512.38
2025-06,West,W5,Sofia Reyes,True,,13,4322.93
2025-06,West,W6,Tom Baxter,True,,11,3512.38
2025-06,East,E1,Grace Kim,True,,12,9301.7
2025-06,East,E2,Liam Chen,True,,13,7972.89
2025-06,East,E3,Nora Fields,True,,8,9301.7
2025-06,Central,C1,Omar Haddad,True,,11,10677.11
2025-06,Central,C2,Ivy Larsson,True,,8,16015.66
2025-07,West,W1,Alicia Nguyen,True,2025-08-04,11,6381.02
2025-07,West,W2,Marcus Webb,True,2025-08-04,11,5800.93
2025-07,West,W3,Priya Raman,True,2025-08-04,11,4640.74
2025-07,West,W4,Devon Ortiz,True,2025-08-04,10,3770.6
2025-07,West,W5,Sofia Reyes,True,,13,4640.74
2025-07,West,W6,Tom Baxter,True,,11,3770.6
2025-07,East,E1,Grace Kim,True,,12,9900.35
2025-07,East,E2,Liam Chen,True,,13,8486.01
2025-07,East,E3,Nora Fields,True,,8,9900.35
2025-07,Central,C1,Omar Haddad,True,,11,11380.02
2025-07,Central,C2,Ivy Larsson,True,,8,17070.03
2025-08,West,W1,Alicia Nguyen,False,2025-08-04,11,313.87
2025-08,West,W2,Marcus Webb,False,2025-08-04,11,285.34
2025-08,West,W3,Priya Raman,False,2025-08-04,11,228.27
2025-08,West,W4,Devon Ortiz,False,2025-08-04,10,185.47
2025-08,West,W5,Sofia Reyes,True,,13,4565.45
2025-08,West,W6,Tom Baxter,True,,11,3709.43
2025-08,East,E1,Grace Kim,True,,12,9562.9
2025-08,East,E2,Liam Chen,True,,13,8196.77
2025-08,East,E3,Nora Fields,True,,8,9562.9
2025-08,Central,C1,Omar Haddad,True,,11,11108.25
2025-08,Central,C2,Ivy Larsson,True,,8,16662.38
2025-09,West,W1,Alicia Nguyen,False,2025-08-04,11,333.91
2025-09,West,W2,Marcus Webb,False,2025-08-04,11,303.56
2025-09,West,W3,Priya Raman,False,2025-08-04,11,242.84
2025-09,West,W4,Devon Ortiz,False,2025-08-04,10,197.31
2025-09,West,W5,Sofia Reyes,True,,13,4856.89
2025-09,West,W6,Tom Baxter,True,,11,3946.23
